809,1023,1023,1023
899,1023,1023,1023
972,1023,1023,1023
1046,1023,1023,1023
1121,1023,1023,1023
1195,1023,1023,1023
1268,1023,1023,1023
1341,1023,1023,1023
1415,1023,1023,1023
1488,1023,1023,1023
1562,1023,1023,1023
1635,1023,1023,1023
1709,1023,1023,1023
1782,1023,1023,1023
1856,1023,1023,1023
1930,1023,1023,1023
2002,1023,1023,1023
2076,1023,1023,1023
2150,1023,1023,1023
2224,1023,1023,1023
2297,1023,1023,1023
2370,1023,1023,1023
2444,1023,1023,1023
2518,1023,1023,1023
2591,1023,1023,1023
2667,1023,1023,1023
2741,1023,1023,1023
2820,1023,1023,1023
2893,1023,1023,1023
2967,1023,1023,1023
3041,1023,1023,1023
3117,1023,1023,1023
3189,1023,1023,1023
3263,1023,1023,1023
3337,1023,1023,1023
3410,1023,1023,1023
3483,1023,1023,1023
3557,1023,1023,1023
3631,1023,1023,1023
3703,1023,1023,1023
3777,1023,1023,1023
3851,1023,1023,1023
3924,1023,1023,1023
3997,1023,1023,1023
4071,1023,1023,1023
4145,1023,1023,1023
4217,1023,1023,1023
4291,1023,1023,1023
4365,1023,1023,1023
4441,1023,1023,1023
4515,1023,1023,1023
4589,1023,1023,1023
4663,1023,1023,1023
4737,1023,1023,1023
4810,1023,1023,1023
4889,1023,1023,1023
4963,1023,1023,1023
5036,1023,1023,1023
5109,1023,1023,1023
5183,1023,1023,1023
5257,1023,1023,1023
5330,1023,1023,1023
5404,1023,1023,1023
5478,1023,1023,1023
5552,1023,1023,1023
5624,1023,1023,1023
5698,1023,1023,1023
5772,1023,1023,1023
5846,1023,1023,1023
5919,1023,1023,1023
5993,1023,1023,1023
6067,1023,1023,1023
6140,1023,1023,1023
6214,1023,1023,1023
6290,1023,1023,1023
6364,1023,1023,1023
6437,1023,1023,1023
6511,1023,1023,1023
6585,1023,1023,1023
6659,1023,1023,1023
6732,1023,1023,1023
6806,1023,1023,1023
6879,1023,1023,1023
6957,1023,1023,1023
7030,1023,1023,1023
7104,1023,1023,1023
7178,1023,1023,1023
7250,1023,1023,1023
7324,782,780,698
7397,784,777,698
7471,754,749,556
7543,755,748,551
7617,676,672,479
7690,677,673,478
7763,619,616,472
7836,621,616,475
7909,566,567,473
7983,568,568,471
8056,563,560,471
8129,566,561,471
8205,563,555,471
8279,563,551,470
8351,620,616,474
8426,619,615,475
8499,620,615,475
8572,618,615,476
8645,619,616,474
8719,620,615,475
8792,620,616,475
8865,619,616,476
8939,620,617,476
9016,624,618,478
9090,620,615,474
9163,619,616,475
9236,619,615,475
9309,619,615,476
9382,619,614,475
9456,620,616,475
9529,619,617,476
9602,618,615,474
9675,619,614,475
9748,619,615,475
9822,675,671,478
9895,674,670,476
9969,676,672,477
10043,673,669,475
10116,677,674,479
10189,673,670,477
10265,673,671,478
10339,675,671,478
10413,672,670,478
10486,674,671,479
10560,674,671,478
10633,669,671,477
